id,is_active,name,established,insured,last_updated,address,city,state,asset,deposits,ots_region,offices,offices_domestic,officies_foreign,fed_district
1,0,The Southington Bank and Trust Company,1916-04-18,1934-01-01,1990-10-04,22 Main Street,Southington,Connecticut,48570,38766,Northeast,4,,,New York
2,0,Colonial Bank of Waterbury,1800-01-01,1934-01-01,1995-09-07,81 West Main Street,Waterbury,Connecticut,624655,493871,Northeast,34,,,New York
3,0,Fleet Bank of Maine,1933-11-20,1934-01-01,2000-11-17,One City Center,Portland,Maine,1699404,1233344,Northeast,55,,,New York
4,0,Union Trust Company,1907-01-01,1934-01-01,2008-02-27,66 Main Street,Ellsworth,Maine,539169,342440,Northeast,13,,,New York
5,0,Northeast Bank of Sanford,1915-06-01,1934-01-01,1990-10-04,8 Washington Street,Sanford,Maine,55692,48518,Northeast,5,,,New York
6,1,State Street Bank and Trust Company,1792-01-01,1934-01-01,2013-10-30,1 Lincoln St. Fl 1,Boston,Massachusetts,239051106,187320738,Northeast,1,1,1,Washington
7,0,United States Trust Company,1885-01-01,1934-01-01,1995-09-28,30 Court Street,Boston,Massachusetts,,,Northeast,3,,,New York
8,0,BayBank Harvard Trust Company,1860-01-01,1934-01-01,1995-09-13,1414 Massachusetts Avenue,Cambridge,Massachusetts,1435310,1368976,Northeast,26,,,New York
9,0,Durfee Attleboro Bank,1887-03-16,1934-01-01,1992-10-28,10 North Main Street,Fall River,Massachusetts,346808,314112,Northeast,12,,,New York
10,0,Bank of New England - North Shore,1891-01-01,1934-01-01,1995-10-06,154 Main Street,Gloucester,Massachusetts,153274,140209,Northeast,6,,,New York
11,0,Shawmut Bank of Franklin County,1849-05-24,1934-01-01,1992-08-20,324 Main Street,Greenfield,Massachusetts,159727,93609,Northeast,3,,,New York
13,0,Bank of New England - Hancock,1915-01-01,1934-01-01,1990-10-04,1495 Hancock Street,Quincy,Massachusetts,414795,387360,Northeast,16,,,New York
14,0,Eastern Bank and Trust Company,1803-01-01,1934-01-01,2003-02-10,217 Essex Street,Salem,Massachusetts,12474,500,Northeast,1,,,New York
15,0,BayBank Winchester Trust Company,1913-07-01,1934-01-01,1990-10-04,35 Church Street,Winchester,Massachusetts,23379,20427,Northeast,3,,,New York
16,0,Indian Head Bank North,1923-09-23,1934-01-01,1990-10-04,160 Main Street,Littleton,New Hampshire,204423,186930,Northeast,9,,,New York
17,1,AuburnBank,1907-01-03,1934-01-01,2006-11-03,100 North Gay Street,Auburn,Alabama,752287,671252,Southeast,11,11,0,Atlanta
18,0,Bank of the South,1931-08-15,1934-01-01,1990-10-04,17 North Court Square,Abbeville,Alabama,56420,49468,Southeast,2,,,Atlanta
19,0,"Alabama City Bank of Gadsden, Alabama",1922-10-01,1934-01-01,1990-10-04,2608 Schuler Avenue,Gadsden,Alabama,61089,53770,Southeast,1,,,Atlanta
20,0,"The Exchange Bank, Attalla, Alabama",1913-03-20,1934-01-01,1998-04-11,923 Attalla Boulevard,Attalla,Alabama,63927,57645,Southeast,3,,,Atlanta
21,1,Robertson Banking Company,1870-01-01,1934-01-01,2006-11-03,216 North Walnut Avenue,Demopolis,Alabama,253788,219662,Southeast,6,6,0,Atlanta
22,0,East Gadsden Bank,1929-10-11,1934-01-01,1981-01-07,801 East Broad Street,Gadsden,Alabama,43800,41283,Southeast,1,,,Atlanta
23,1,Phenix-Girard Bank,1904-05-04,1934-01-01,2006-11-03,8th Avenue And 13th Street,Phenix City,Alabama,170891,133979,Southeast,4,4,0,Atlanta
24,0,The Bank of Arab,1921-01-01,1934-01-01,1990-10-04,U.S. Highway 231 North & 12th Avenue,Arab,Alabama,32225,29228,Southeast,2,,,Atlanta
25,0,The Bank of Berry,1911-01-01,1934-01-01,2002-05-20,Depot Street,Berry,Alabama,12825,11285,Southeast,1,,,Atlanta
26,0,Jacobs Bank,1909-01-01,1934-01-01,2000-02-02,510 East Laurel Street,Scottsboro,Alabama,173273,145720,Southeast,7,,,Atlanta
27,1,Merchants Bank of Alabama,1907-01-01,1934-01-01,2011-02-24,"900 Second Avenue, Sw",Cullman,Alabama,246084,222404,Southeast,5,5,0,Atlanta
